Country,Population_2022,Population_2023,Growth_percent,Continent,Subregion,Country (groups)
Madagascar,30437261,31195932,2.49,Africa,Eastern Africa,Other
Ivory Coast,30395002,31165654,2.54,Africa,Western Africa,Other
Nepal,29715436,29964614,0.84,Asia,Southern Asia,Other
Cameroon,27632771,28372687,2.68,Africa,Middle Africa,Other
Venezuela,28213017,28300854,0.31,Americas,South America,Other
Australiaf,26200984,26451124,0.95,Oceania,Australia and New Zealand,Other
North Korea,26329845,26418204,0.34,Asia,Eastern Asia,Other
Niger,25311973,26159867,3.35,Africa,Western Africa,Other
Mali,23072640,23769127,3.02,Africa,Western Africa,Other
Syria,22462173,23594623,5.04,Asia,Western Asia,Other
Taiwang,23420111,23317145,-0.44,Asia,Eastern Asia,Other
Burkina Faso,22509038,23025776,2.3,Africa,Western Africa,Other
Sri Lanka,22834965,22971617,0.6,Asia,Southern Asia,Other
Malawi,20568728,21104482,2.6,Africa,Eastern Africa,Other
Zambia,20152938,20723965,2.83,Africa,Eastern Africa,Other
Kazakhstan,20034609,20330104,1.47,Asia,Central Asia,Other
Chile,19553036,19658835,0.54,Americas,South America,Other
Chad,18455316,19319064,4.68,Africa,Middle Africa,Other
Romania,19166772,19118479,-0.25,Europe,Eastern Europe,Other
Somaliah,17801897,18358615,3.13,Africa,Eastern Africa,Other
Guatemala,17847877,18124838,1.55,Americas,Central America,Other
Senegal,17651103,18077573,2.42,Africa,Western Africa,Other
Netherlandsi,17904421,18092524,1.05,Europe,Western Europe,Other
Ecuador,17823897,17980083,0.88,Americas,South America,Other
Cambodia,17201724,17423880,1.29,Asia,South-eastern Asia,Other
Zimbabwe,16069056,16340822,1.69,Africa,Eastern Africa,Other
Guinea,14055137,14405465,2.49,Africa,Western Africa,Other
Benin,13759501,14111034,2.55,Africa,Western Africa,Other
Rwanda,13651030,13954471,2.22,Africa,Eastern Africa,Other
Burundi,13321097,13689450,2.77,Africa,Eastern Africa,Other
Bolivia,12077154,12244159,1.38,Americas,South America,Other
Tunisia,12119334,12200431,0.67,Africa,Northern Africa,Other
Belgium,11641820,11712893,0.61,Europe,Western Europe,Other
Haiti,11503606,11637398,1.16,Americas,Caribbean,Other
South Sudan,11021177,11483374,4.19,Africa,Eastern Africa,Other
Jordan,11256263,11439213,1.63,Asia,Western Asia,Other
Dominican Republic,11230734,11331265,0.9,Americas,Caribbean,Other
Cuba,11059820,11019931,-0.36,Americas,Caribbean,Other
Czechia,10673213,10809716,1.28,Europe,Eastern Europe,Other
Honduras,10463872,10644851,1.73,Americas,Central America,Other
United Arab Emirates,10242086,10642081,3.91,Asia,Western Asia,Other
Sweden,10487338,10551494,0.61,Europe,Northern Europe,Other
Portugalj,10417073,10430738,0.13,Europe,Southern Europe,Other
Tajikistan,10182222,10389799,2.04,Asia,Central Asia,Other
Papua New Guinea,10203169,10389635,1.83,Oceania,Melanesia,Other
Azerbaijan,10295304,10318207,0.22,Asia,Western Asia,Other
Greece,10412480,10242908,-1.63,Europe,Southern Europe,Other
Hungary,9964306,9686463,-2.79,Europe,Eastern Europe,Other
Togo,9089738,9304337,2.36,Africa,Western Africa,Other
Israel,9103151,9256314,1.68,Asia,Western Asia,Other
Austria,9064677,9130429,0.73,Europe,Western Europe,Other
Belarus,9173237,9115680,-0.63,Europe,Eastern Europe,Other
Switzerland,8792182,8870561,0.89,Europe,Western Europe,Other
Sierra Leone,8276807,8460512,2.22,Africa,Western Africa,Other
Laos,7559007,7664993,1.4,Asia,South-eastern Asia,Other
Hong Kong (China)k,7465915,7442734,-0.31,Asia,Eastern Asia,Other
Turkmenistan,7230193,7364438,1.86,Asia,Central Asia,Other
Libya,7223805,7305659,1.13,Africa,Northern Africa,Other
Kyrgyzstan,6955788,7073516,1.69,Asia,Central Asia,Other
Paraguay,6760464,6844146,1.24,Americas,South America,Other
Nicaragua,6730654,6823613,1.38,Americas,Central America,Other
Bulgaria,6825864,6795803,-0.44,Europe,Eastern Europe,Other
Serbial,6791213,6773201,-0.27,Europe,Southern Europe,Other
El Salvador,6280319,6309624,0.47,Americas,Central America,Other
Congo,6035104,6182885,2.45,Africa,Middle Africa,Other
Denmark,5902904,5948136,0.77,Europe,Northern Europe,Other
Singapore,5649885,5789090,2.46,Asia,South-eastern Asia,Other
Lebanon,5744489,5733493,-0.19,Asia,Western Asia,Other
Finlandm,5569299,5601185,0.57,Europe,Northern Europe,Other
Norwayn,5457801,5519167,1.12,Europe,Northern Europe,Other
Slovakia,5473197,5518055,0.82,Europe,Eastern Europe,Other
Liberia,5373294,5493031,2.23,Africa,Western Africa,Other
Palestineo,5305270,5409202,1.96,Asia,Western Asia,Other
Ireland,5110016,5196630,1.69,Europe,Northern Europe,Other
New Zealand,5131734,5172836,0.8,Oceania,Australia and New Zealand,Other
Central African Republic,5098039,5152421,1.07,Africa,Middle Africa,Other
Costa Rica,5081765,5105525,0.47,Americas,Central America,Other
Oman,4730226,5049269,6.74,Asia,Western Asia,Other
Mauritania,4875637,5022441,3.01,Africa,Western Africa,Other
Kuwait,4589511,4838782,5.43,Asia,Western Asia,Other
Panama,4400773,4458759,1.32,Americas,Central America,Other
Croatia,3907027,3896023,-0.28,Europe,Southern Europe,Other
Georgiap,3794784,3807492,0.33,Asia,Western Asia,Other
Eritrea,3409447,3470390,1.79,Africa,Eastern Africa,Other
Mongolia,3386015,3431932,1.36,Asia,Eastern Asia,Other
Uruguay,3390913,3388081,-0.08,Americas,South America,Other
Puerto Rico (United States),3240968,3242023,0.03,Americas,Caribbean,Other
Bosnia and Herzegovina,3204802,3185073,-0.62,Europe,Southern Europe,Other
Moldovaq,3039985,3067070,0.89,Europe,Eastern Europe,Other
Qatar,2892455,2979082,2.99,Asia,Western Asia,Other
Namibia,2889662,2963095,2.54,Africa,Southern Africa,Other
Armenia,2880874,2943393,2.17,Asia,Western Asia,Other
Lithuania,2816919,2854099,1.32,Europe,Northern Europe,Other
Jamaica,2839144,2839786,0.02,Americas,Caribbean,Other
Albania,2827608,2811655,-0.56,Europe,Southern Europe,Other
Gambia,2636470,2697845,2.33,Africa,Western Africa,Other
Gabon,2430747,2484789,2.22,Africa,Middle Africa,Other
Botswana,2439892,2480244,1.65,Africa,Southern Africa,Other
Lesotho,2286110,2311472,1.11,Africa,Southern Africa,Other
Guinea-Bissau,2105529,2153339,2.27,Africa,Western Africa,Other
